organism       PF01521.22     PF05093.15     PF01458.19     PF02657.17     PF04384.15     PF06155.14     PF16803.7      PF13232.8      PF13233.8      PF01592.18     PF01883.21     PF01491.18     PF01106.19     PF03473.19     PF08712.13     PF05347.17     PF07743.15     PF09918.11     PF11982.10     PF12447.10     PF19295.1      PF00012.22     PF00266.21     PF00005.29     
UP000051681    2/2            0/0            2/2            1/1            0/0            0/3            0/0            0/0            0/0            0/1            2/3            0/0            0/1            0/2            0/1            0/0            0/2            0/1            0/0            0/0            2/2            1/5            4/17           12/97          
UP000321164    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/5            0/0            0/2            0/3            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/3            11/33          32/291         
UP000199650    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            3/4            0/0            0/1            0/2            0/1            0/0            0/2            0/0            0/0            0/0            2/2            1/3            5/22           12/107         
UP000254575    2/2            0/0            2/2            0/0            0/1            0/1            0/0            0/1            0/0            1/2            1/1            0/0            0/0            0/1            0/0            0/0            0/0            0/1            0/0            0/0            1/1            1/2            3/11           4/79           
UP000184386    0/1            0/0            2/4            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/0            0/1            0/0            0/0            0/1            0/2            0/0            0/0            0/0            0/0            1/1            3/6            4/22           9/247          
UP000003112    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            2/2            1/3            1/14           1/59           
UP000295050    3/3            0/0            2/2            1/1            0/0            0/0            0/0            0/1            0/0            1/2            2/2            0/0            1/2            0/0            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/2            4/16           13/102         
UP000000925    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/1            1/1            3/3            0/0            0/0            0/0            0/0            0/0            0/2            0/0            0/0            0/0            2/2            1/4            2/10           5/72           
UP000001224    1/1            0/0            2/2            1/2            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/1            0/0            0/0            0/0            0/0            0/1            0/0            0/0            2/2            2/4            4/13           4/60           
UP000198526    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            2/2            1/3            2/13           2/60           
UP000426444    0/0            0/0            1/1            0/1            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/2            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/5            4/15           1/67           
UP000000361    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/3            0/1            0/1            0/3            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/4            4/23           26/212         
UP000182108    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            1/1            1/3            3/14           5/74           
UP000295678    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/1            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/2            2/18           13/125         
UP000033393    1/3            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/6            0/0            0/0            0/6            0/0            0/0            0/2            0/1            0/0            0/1            1/2            3/6            9/34           18/211         
UP000214862    2/2            0/0            2/2            1/1            0/1            0/4            0/2            0/0            0/0            0/2            3/4            0/0            0/2            0/3            0/1            0/1            0/1            0/0            0/0            0/0            2/2            2/4            4/27           26/181         
UP000003844    1/3            0/0            2/2            1/1            0/1            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/2            0/0            0/1            0/1            0/1            0/0            0/0            0/0            2/2            1/3            5/26           4/73           
UP000019202    2/3            0/0            0/0            1/1            1/1            0/0            0/0            0/0            0/0            2/2            1/2            0/1            0/1            0/2            0/0            0/0            1/2            0/0            0/0            0/0            0/0            2/7            4/23           5/103          
UP000078308    1/1            0/0            2/2            1/2            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/1            0/1            0/0            0/1            0/0            0/2            0/0            0/0            0/0            2/2            1/2            3/14           3/65           
UP000244906    2/3            0/0            0/0            1/1            1/1            0/1            0/0            0/0            0/0            1/1            1/1            0/2            0/1            0/3            0/0            0/0            1/2            0/0            0/0            0/0            0/0            3/5            4/18           2/103          
UP000001902    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/1            0/0            0/1            0/0            0/0            0/0            0/1            0/1            0/2            0/0            1/1            1/4            2/13           7/67           
UP000262882    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/1            0/1            1/1            2/3            0/0            0/2            0/4            0/0            0/0            0/1            0/0            0/0            0/0            1/1            4/6            6/25           22/222         
UP000006691    1/2            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/1            1/1            2/3            0/0            0/1            0/0            0/1            0/1            0/2            0/0            0/0            0/0            2/2            1/4            3/20           11/127         
UP000019504    1/4            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/3            1/2            1/2            0/1            0/1            0/1            0/1            0/1            0/0            0/0            0/1            0/0            2/2            1/4            5/26           3/153          
UP000290974    3/3            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/3            1/1            2/2            0/0            1/3            0/1            0/1            0/0            0/6            0/1            0/0            0/0            2/2            4/5            7/22           7/167          
UP000051451    0/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            1/1            0/0            0/0            0/0            0/1            0/0            0/1            0/0            0/1            0/0            2/2            1/4            3/18           7/88           
UP000317204    2/3            0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/2            0/1            0/0            0/1            1/2            0/0            0/0            0/0            0/0            2/6            2/21           1/82           
UP000294462    2/3            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/3            2/4            2/22           
UP000249120    3/5            0/0            5/5            1/2            0/1            0/0            0/0            0/0            0/0            1/1            4/6            0/0            0/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            4/4            2/5            6/39           10/184         
UP000225101    2/2            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/0            1/1            1/1            0/1            0/0            0/1            0/0            0/0            1/3            0/0            0/0            0/1            0/0            5/7            1/17           6/100          
UP000018049    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/2            0/0            0/1            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/1            1/2            2/3            1/32           
UP000281112    2/3            0/0            0/0            1/1            1/1            0/0            0/0            0/0            0/0            2/2            0/1            0/1            1/2            0/1            0/0            0/0            1/3            0/0            0/1            0/0            0/0            2/9            4/22           8/142          
UP000292564    1/1            0/0            2/2            0/2            0/0            0/0            0/0            0/0            0/0            1/2            2/3            0/0            0/0            0/1            0/0            0/0            0/4            0/0            0/0            0/0            1/1            8/9            5/20           12/157         
UP000185593    1/2            0/0            1/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            3/5            0/0            0/0            0/3            0/0            0/0            0/1            0/1            0/0            0/0            0/0            0/2            0/8            7/124          
UP000006062    3/4            0/0            2/2            2/2            0/0            0/3            0/0            0/0            0/0            1/1            2/2            0/0            2/2            0/1            0/0            0/1            0/2            0/0            0/0            0/1            2/2            2/4            3/15           4/101          
UP000321204    2/2            0/0            2/3            1/1            0/0            0/0            0/0            0/0            0/1            0/0            3/4            0/0            0/2            0/1            0/1            0/0            0/2            0/0            0/0            0/0            2/2            1/3            4/22           6/73           
UP000281771    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/2            1/2            3/12           12/87          
UP000020878    3/3            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/1            2/2            1/1            0/1            0/2            0/0            0/0            0/0            1/1            0/0            0/0            0/1            0/0            2/4            4/16           3/71           
UP000245880    1/2            0/0            2/3            1/1            0/0            0/1            0/1            0/0            0/0            0/0            2/2            0/0            0/2            0/1            0/2            0/0            0/2            0/0            0/0            0/0            2/2            1/5            4/16           3/76           
UP000192418    0/1            0/0            1/1            0/0            0/0            0/1            0/1            0/0            0/1            2/4            0/1            0/0            0/0            0/0            0/0            0/0            0/1            0/2            0/1            0/0            0/0            4/7            2/20           9/140          
UP000029004    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            1/2            4/5            2/17           5/80           
UP000287564    0/0            0/0            2/2            0/0            0/1            0/0            0/0            0/0            0/1            1/2            0/0            0/0            0/1            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            2/3            4/16           5/103          
UP000063836    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/1            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/2            1/2            3/20           
UP000307467    2/3            0/0            0/0            0/0            1/1            0/1            0/1            0/0            0/1            1/1            1/1            0/0            0/1            0/0            0/0            0/1            1/1            0/0            0/0            0/1            0/0            2/4            1/10           1/53           
UP000002620    0/1            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/1            0/0            0/1            0/1            0/0            0/0            0/3            0/1            0/0            0/0            0/0            1/3            1/9            4/52           
UP000252602    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            1/2            0/0            0/1            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/1            2/7            1/36           
UP000196485    2/3            0/0            0/0            1/1            1/1            0/0            0/0            0/0            0/0            1/2            0/0            0/1            0/1            0/2            0/0            0/0            1/1            0/0            0/0            0/0            0/0            3/8            3/17           4/93           
UP000294935    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/4            0/1            0/0            0/3            0/0            0/1            0/0            2/2            1/3            4/21           35/247         
UP000189933    0/0            0/1            0/0            0/0            0/0            0/1            0/0            0/0            0/1            1/1            0/0            0/1            0/0            0/1            0/0            0/0            0/1            0/1            0/1            0/0            0/0            1/4            2/18           5/74           
UP000186302    2/2            0/0            0/0            0/0            1/1            0/1            0/1            0/0            0/0            1/1            1/2            0/2            0/1            0/2            0/1            0/0            0/2            0/0            0/0            0/0            0/0            3/6            2/16           17/148         
UP000016895    3/4            0/0            2/2            2/2            1/1            0/0            0/0            0/0            0/1            1/1            0/0            0/1            0/1            0/3            0/0            0/0            1/3            0/0            0/0            0/1            2/2            2/11           4/24           18/203         
UP000183940    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/1            1/1            1/3            0/0            1/2            0/1            0/0            0/0            0/3            0/0            0/0            0/3            2/2            2/6            7/18           8/118          
UP000235640    2/3            0/0            0/0            1/1            1/1            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/1            0/1            0/0            0/1            1/1            0/0            0/0            0/0            0/0            2/7            3/24           7/145          
UP000240608    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/0            0/2            0/0            0/2            0/1            0/0            0/0            0/0            0/0            1/2            0/2            1/15           2/62           
UP000469125    1/4            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            3/4            0/0            0/1            0/1            0/2            0/0            0/1            0/0            0/0            0/1            2/2            1/6            3/17           15/150         
UP000266975    1/1            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/1            2/9            2/62           
UP000027096    1/1            0/0            1/1            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/3            2/10           9/89           
UP000001551    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/1            0/0            0/0            0/2            0/0            0/0            0/0            1/1            2/4            4/14           7/98           
UP000019267    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            0/0            0/2            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/8            1/3            4/62           
UP000018369    0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/3            3/8            1/54           
UP000016858    0/0            0/0            1/3            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/1            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/1            2/6            2/12           7/115          
UP000093199    1/1            0/0            2/3            0/0            0/0            0/0            0/1            0/0            0/0            1/1            2/2            0/0            0/1            0/0            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/4            4/17           6/113          
UP000320451    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            3/6            4/23           7/88           
UP000181897    2/2            0/0            2/2            1/1            0/0            0/0            0/1            0/1            0/0            0/0            2/3            0/1            0/1            0/2            0/1            0/0            0/2            0/0            0/1            0/0            2/2            1/4            4/20           24/152         
UP000259852    1/1            0/0            2/2            1/1            0/0            0/0            0/1            0/0            0/1            0/0            2/2            0/0            0/2            0/1            0/1            0/1            0/0            0/0            0/0            0/0            2/2            1/4            4/16           4/70           
UP000192923    5/5            0/0            2/2            0/0            1/1            0/1            0/1            0/1            0/0            2/2            2/2            0/1            0/0            0/1            0/0            0/0            1/3            0/0            0/0            0/0            2/2            3/6            6/19           10/99          
UP000017921    0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/0            0/1            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/4            3/15           6/84           
UP000194798    3/4            0/1            0/0            0/0            1/4            0/1            0/0            0/0            0/0            2/2            1/1            0/1            1/1            0/1            0/0            0/0            1/1            0/0            0/0            0/1            0/0            3/11           3/14           1/100          
UP000199688    2/2            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/2            0/1            0/1            0/2            0/0            0/0            1/2            0/0            0/0            0/1            0/0            3/5            4/21           28/210         
UP000195713    0/0            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/2            0/2            0/3            1/2            0/0            0/0            0/0            0/3            0/0            0/0            0/0            1/1            2/3            2/9            7/103          
UP000199496    2/2            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/0            3/3            1/1            0/0            0/0            0/0            0/0            0/1            1/1            0/0            0/0            0/1            0/0            3/5            4/14           7/70           
UP000256485    1/2            0/1            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/2            0/0            0/0            0/3            0/0            0/0            0/0            1/1            4/5            3/19           6/129          
UP000198785    2/2            0/0            2/2            1/1            0/0            0/0            0/1            0/0            0/0            0/0            3/3            0/0            0/2            0/0            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/4            3/14           4/71           
UP000036700    2/2            0/1            0/1            0/0            1/1            0/1            0/1            0/0            0/0            1/1            2/3            0/1            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/1            0/0            3/5            1/26           12/127         
UP000252770    1/3            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/0            0/2            0/0            0/0            0/2            0/0            0/0            0/0            1/1            1/2            4/13           9/104          
UP000017946    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/3            0/0            0/0            0/0            0/1            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/3            3/9            4/73           
UP000244156    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            1/1            0/1            0/0            1/2            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/1            1/4            5/19           5/100          
UP000184560    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/2            0/0            0/0            0/0            0/0            0/0            0/0            2/2            1/2            0/4            2/19           
UP000253314    1/5            0/0            2/2            0/0            0/1            0/0            0/1            0/0            0/1            1/1            3/4            0/0            0/1            0/2            0/1            0/0            0/1            0/1            0/0            0/0            2/2            1/3            6/28           9/101          
UP000186270    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/4            0/0            0/0            0/2            0/0            0/0            0/1            0/0            0/0            0/0            1/1            2/4            5/33           16/175         
UP000199645    1/2            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/4            0/0            0/1            0/4            0/0            0/0            0/2            0/1            0/1            0/0            1/1            4/5            7/27           18/260         
UP000054844    2/2            0/0            2/2            0/0            0/0            0/1            0/0            0/0            0/0            1/1            2/3            0/0            0/1            0/2            0/1            0/1            0/0            0/0            0/0            0/0            2/2            1/4            3/13           28/150         
UP000251889    1/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/1            0/0            2/3            0/0            0/2            0/2            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/6            3/24           2/89           
UP000197566    1/1            0/0            2/2            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/2            0/1            0/3            0/0            0/3            0/0            0/1            0/0            2/2            1/4            3/11           5/80           
UP000184074    2/2            0/1            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            2/3            0/0            0/1            0/3            0/1            0/0            0/1            0/1            0/0            0/0            2/2            1/4            2/16           9/104          
UP000295277    3/3            0/0            2/3            1/1            0/0            0/0            0/0            0/0            0/0            1/2            2/2            0/0            1/2            0/1            0/1            0/0            0/0            0/0            0/1            0/0            2/2            1/2            3/15           15/118         
UP000196090    0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/0            0/1            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/5            4/13           7/114          
UP000072050    0/0            0/0            3/3            0/0            0/1            0/0            0/1            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/2            0/0            0/0            0/0            3/3            1/1            3/11           11/90          
UP000220251    1/1            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            0/0            0/0            0/1            0/1            0/0            0/0            0/3            0/0            0/0            0/0            2/2            1/5            4/11           4/54           
UP000321345    1/1            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/1            0/0            1/3            0/0            0/2            0/0            0/1            0/0            0/1            0/0            0/0            0/1            2/2            1/4            2/13           2/61           
UP000217083    1/4            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/1            1/1            3/5            0/0            0/1            0/0            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/5            6/22           7/98           
UP000191056    0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            1/2            0/2            0/0            0/2            0/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/3            6/36           6/169          
UP000244112    2/2            0/0            0/0            0/0            1/1            0/2            0/0            0/0            0/0            1/1            1/1            0/1            0/1            0/1            0/0            0/0            1/1            0/0            0/1            0/2            0/0            3/4            2/25           15/158         
UP000515561    0/1            0/0            2/3            0/0            0/0            0/0            0/1            0/0            0/1            2/3            0/1            0/1            0/1            0/1            0/0            0/0            0/1            0/0            0/0            0/0            1/1            3/10           4/22           7/204          
UP000051809    2/2            0/0            2/2            1/1            0/0            0/0            0/1            0/0            0/0            1/1            1/1            0/0            1/2            0/0            0/0            0/0            1/2            0/0            0/0            0/1            2/2            2/5            6/15           6/99           
UP000199142    2/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/1            1/2            0/0            0/2            0/1            0/1            0/0            0/0            0/1            0/0            0/0            1/1            1/3            9/23           3/68           
UP000005824    2/2            0/0            2/2            1/2            0/0            0/2            0/0            0/0            0/0            2/2            2/2            0/0            0/1            0/0            0/0            0/0            0/0            0/1            0/0            0/0            2/2            5/6            5/16           5/115          
UP000240206    1/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/2            0/0            0/0            0/0            0/1            0/0            0/0            0/0            2/2            2/4            4/13           3/75           
UP000175744    0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/0            0/1            0/0            0/0            0/0            0/0            0/2            0/0            0/0            0/0            0/0            1/7            2/14           1/74           
UP000248874    1/5            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/2            1/2            2/3            0/0            0/1            0/1            0/1            0/0            0/0            0/0            0/1            0/0            2/2            1/4            4/39           13/154         
UP000018361    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/1            0/1            2/2            0/0            0/1            0/0            0/0            0/0            0/1            0/0            0/0            0/0            2/2            1/3            1/12           1/54           
UP000310334    1/6            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/1            2/3            3/4            0/0            0/1            0/1            0/1            0/0            0/2            0/0            0/0            0/1            2/2            1/5            4/29           13/147         
UP000271256    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/4            2/15           4/82           
UP000017090    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            0/0            0/2            0/1            0/0            0/0            0/0            0/2            0/0            0/1            0/0            1/1            1/4            2/12           6/69           
UP000283474    2/2            0/0            2/2            0/0            0/1            0/0            0/0            0/0            0/0            2/2            1/2            0/0            0/0            0/1            0/0            0/1            0/0            0/0            0/0            0/1            2/2            1/3            2/19           14/145         
UP000018011    0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/3            3/12           5/86           
UP000295620    2/2            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/1            1/1            0/0            0/2            0/0            0/1            0/0            1/1            0/0            0/0            0/0            0/0            3/6            3/20           3/77           
UP000230161    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/1            0/0            1/1            2/3            3/17           16/120         
UP000216057    0/0            0/0            2/2            0/1            0/1            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/2            1/13           9/86           
UP000049222    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/3            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/3            2/15           5/115          
UP000053697    0/1            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/5            0/12           
UP000247792    2/2            0/1            0/0            0/1            1/1            0/1            0/0            0/0            0/0            1/1            1/3            0/1            0/0            0/2            0/0            0/0            1/3            0/1            0/0            0/2            0/0            4/7            4/24           11/147         
UP000275325    2/2            0/0            1/1            1/1            0/0            0/0            0/0            0/0            0/0            0/2            2/4            0/0            0/1            0/1            0/1            0/0            0/0            0/1            0/0            0/0            1/1            1/3            3/18           3/71           
UP000028602    2/3            0/0            0/0            1/1            1/1            0/0            0/0            0/0            0/0            1/1            0/0            0/1            0/1            0/1            0/0            0/0            1/1            0/0            0/0            0/1            0/0            2/4            2/12           7/108          
UP000002524    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/0            0/0            0/4            0/0            0/0            0/2            0/0            0/0            0/0            2/2            1/2            3/16           6/94           
UP000000784    2/2            0/1            0/0            0/0            0/0            0/1            0/1            0/0            0/0            1/1            1/2            0/1            0/1            0/1            0/0            0/0            1/3            0/0            0/1            0/1            0/0            6/9            2/22           20/168         
UP000271452    1/1            0/0            2/2            1/1            0/0            0/0            0/1            0/0            0/0            0/0            2/2            0/0            0/2            0/1            0/1            0/1            0/1            0/0            0/0            0/0            2/2            1/4            3/16           2/57           
UP000234329    2/2            0/0            0/0            0/0            1/2            0/1            0/0            0/0            0/0            1/1            1/2            0/1            0/1            0/1            0/0            0/0            1/2            0/0            0/0            0/1            0/0            2/4            1/11           3/71           
UP000018378    0/1            0/0            0/1            2/3            0/0            0/0            0/0            0/0            0/1            1/2            0/0            0/1            0/0            0/1            0/0            0/0            0/2            0/0            0/0            0/0            0/0            2/5            6/15           8/87           
UP000007652    0/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            1/1            0/0            0/0            0/0            0/1            0/0            0/0            0/2            0/0            0/0            0/0            0/0            3/6            4/15           1/90           
